abash,abashes
abate,abates
abide,abides
absorb,absorbs
accept,accepts
accompany,accompanies
ache,aches
achieve,achieves
acquire,acquires
act,acts
add,adds
address,addresses
adjust,adjusts
admire,admires
admit,admits
advise,advises
afford,affords
agree,agrees
alight,alights
allow,allows
animate,animates
announce,announces
answer,answers
apologize,apologizes
appear,appears
applaud,applauds
apply,applies
approach,approaches
approache,approaches
approve,approves
argue,argues
arise,arises
arrange,arranges
arrest,arrests
arrive,arrives
ask,asks
assert,asserts
assort,assorts
astonish,astonishes
attack,attacks
attend,attends
attract,attracts
audit,audits
avoid,avoids
awake,awakes
bang,bangs
banish,banishes
banishe,banishes
bash,bashes
bat,bats
bear,bears
beat,beats
beautify,beautifies
become,becomes
befall,befalls
beg,begs
begin,begins
behave,behaves
behold,beholds
believe,believes
belong,belongs
bend,bends
bereave,bereaves
beseech,beseeches
bet,bets
betray,betrays
bid,bids
bind,binds
bite,bites
bleed,bleeds
bless,blesses
blossom,blossoms
blow,blows
blur,blurs
blush,blushes
blushe,blushes
board,boards
boast,boasts
boil,boils
bounce,bounces
bow,bows
box,boxes
bray,brays
break,breaks
breathe,breathes
breed,breeds
bring,brings
brings,brings
broadcast,broadcasts
brush,brushes
build,builds
burn,burns
burst,bursts
bury,buries
bust,busts
buy,buys
buzz,buzzes
calculate,calculates
call,calls
canvass,canvasses
capture,captures
caress,caresses
caresse,caresses
carry,carries
carve,carves
cash,cashes
cast,casts
catch,catches
cause,causes
cease,ceases
celebrate,celebrates
challenge,challenges
change,changes
charge,charges
chase,chases
chat,chats
check,checks
cheer,cheers
chew,chews
chide,chides
chip,chips
choke,chokes
choose,chooses
classify,classifies
clean,cleans
cleave,cleaves
click,clicks
climb,climbs
cling,clings
close,closes
clothe,clothes
clutch,clutches
collapse,collapses
collect,collects
colour,colours
come,comes
comment,comments
compare,compares
compel,compels
compete,competes
complain,complains
complete,completes
conclude,concludes
conduct,conducts
confess,confesses
confine,confines
confiscate,confiscates
confuse,confuses
congratulate,congratulates
connect,connects
connote,connotes
conquer,conquers
consecrate,consecrates
consent,consents
conserve,conserves
consider,considers
consign,consigns
consist,consists
console,consoles
consort,consorts
conspire,conspires
constitute,constitutes
constrain,constrains
construct,constructs
construe,construes
consult,consults
contain,contains
contemn,contemns
contend,contends
contest,contests
continue,continues
contract,contracts
contradict,contradicts
contrast,contrasts
contribute,contributes
contrive,contrives
control,controls
convene,convenes
converge,converges
converse,converses
convert,converts
convey,conveys
convict,convicts
convince,convinces
coo,coos
cook,cooks
cool,cools
co-operate,co-operates
cope,copes
copy,copies
correct,corrects
correspond,corresponds
corrode,corrodes
corrupt,corrupts
cost,costs
cough,coughs
counsel,counsels
count,counts
course,courses
cover,covers
cower,cowers
crack,cracks
crackle,crackles
crash,crashes
crave,craves
create,creates
creep,creeps
crib,cribs
cross,crosses
crowd,crowds
crush,crushes
cry,cries
curb,curbs
cure,cures
curve,curves
cut,cuts
cycle,cycles
damage,damages
damp,damps
dance,dances
dare,dares
dash,dashes
dazzle,dazzles
